File:Method -> Volume | Difficulty | Effort
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\PutUserRequest.java:getAge -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\PutUserRequest.java:setAge -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\PutUserRequest.java:getRole -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\PutUserRequest.java:setRole -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\PutUserRequest.java:isGender -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\PutUserRequest.java:setGender -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\QuestionAnswerDTO.java:getType -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\QuestionAnswerDTO.java:setType -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\QuestionAnswerDTO.java:getAnswer -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\QuestionAnswerDTO.java:setAnswer -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\QuestionAnswerDTO.java:getWeight -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\QuestionAnswerDTO.java:setWeight -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\QuestionSubmission.java:getType -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\QuestionSubmission.java:setType -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\QuestionSubmission.java:getAnswer1 -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\QuestionSubmission.java:setAnswer1 -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\QuestionSubmission.java:getWeight1 -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\QuestionSubmission.java:setWeight1 -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\QuestionSubmission.java:getAnswer2 -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\QuestionSubmission.java:setAnswer2 -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\QuestionSubmission.java:getWeight2 -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\QuestionSubmission.java:setWeight2 -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\QuestSubmissionDTO.java:getMainAnswers -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\QuestSubmissionDTO.java:setMainAnswers -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\QuestSubmissionDTO.java:getOtherAnswers -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\QuestSubmissionDTO.java:setOtherAnswers -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\RegisterRequest.java:getUsername -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\RegisterRequest.java:setUsername -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\RegisterRequest.java:getPassword -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\RegisterRequest.java:setPassword -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\RegisterRequest.java:getAge -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\RegisterRequest.java:setAge -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\RegisterRequest.java:isGender -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\RegisterRequest.java:setGender -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\UserPatch.java:getName -> 2.00 | 0.50 | 1.00
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\UserPatch.java:setName -> 6.34 | 0.75 | 4.75
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\UserPatch.java:getPassword -> 2.00 | 0.50 | 1.00
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\UserPatch.java:setPassword -> 6.34 | 0.75 | 4.75
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\UserPatch.java:getAge -> 2.00 | 0.50 | 1.00
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\UserPatch.java:setAge -> 6.34 | 0.75 | 4.75
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\UserPatch.java:getGender -> 2.00 | 0.50 | 1.00
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\UserPatch.java:setGender -> 6.34 | 0.75 | 4.75
..\app_cli_server\src\main\java\ru\bmstu\iu7\Main.java:init -> 59.21 | 1.65 | 97.69
..\app_cli_server\src\main\java\ru\bmstu\iu7\util\JwtUtil.java:generateToken -> 101.02 | 1.11 | 111.66
..\app_cli_server\src\main\java\ru\bmstu\iu7\util\JwtUtil.java:extractUserId -> 124.00 | 2.77 | 343.38
..\app_cli_server\src\main\java\ru\bmstu\iu7\util\JwtUtil.java:extractUsername -> 8.00 | 0.50 | 4.00
..\app_cli_server\src\main\java\ru\bmstu\iu7\util\JwtUtil.java:isTokenExpired -> 24.00 | 1.00 | 24.00
..\app_cli_server\src\main\java\ru\bmstu\iu7\util\JwtUtil.java:getClaims -> 28.53 | 0.50 | 14.26
..\BL\src\main\java\ru\bmstu\iu7\API\model\AExtendedAnswer.java:getId -> 2.00 | 0.50 | 1.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AExtendedAnswer.java:getWeight -> 2.00 | 0.50 | 1.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AExtendedAnswer.java:getAnswer -> 2.00 | 0.50 | 1.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AExtendedAnswer.java:getTags -> 2.00 | 0.50 | 1.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AExtendedAnswer.java:setTags -> 6.34 | 0.75 | 4.75
..\BL\src\main\java\ru\bmstu\iu7\API\model\AExtendedAnswer.java:getQuestion -> 2.00 | 0.50 | 1.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AExtendedAnswer.java:setQuestion -> 6.34 | 0.75 | 4.75
..\BL\src\main\java\ru\bmstu\iu7\API\model\AInformation.java:getId -> 4.75 | 0.50 | 2.38
..\BL\src\main\java\ru\bmstu\iu7\API\model\AInformation.java:setId -> 6.34 | 0.75 | 4.75
..\BL\src\main\java\ru\bmstu\iu7\API\model\AInformation.java:getExtendedAnswers -> 4.75 | 0.50 | 2.38
..\BL\src\main\java\ru\bmstu\iu7\API\model\AInformation.java:setExtendedAnswers -> 8.00 | 0.50 | 4.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AInformation.java:getVariantAnswers -> 4.75 | 0.50 | 2.38
..\BL\src\main\java\ru\bmstu\iu7\API\model\AInformation.java:toString -> 8.00 | 0.50 | 4.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestion.java:getIs_extended -> 2.00 | 0.50 | 1.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestion.java:getId -> 2.00 | 0.50 | 1.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestion.java:setId -> 6.34 | 0.75 | 4.75
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestion.java:getTags -> 2.00 | 0.50 | 1.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestion.java:setTags -> 6.34 | 0.75 | 4.75
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestion.java:getQuestion -> 2.00 | 0.50 | 1.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestion.java:setQuestion -> 6.34 | 0.75 | 4.75
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java:getId -> 4.75 | 0.50 | 2.38
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java:setId -> NaN | 0.00 | NaN
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java:getUser -> 4.75 | 0.50 | 2.38
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java:setUser -> 6.34 | 0.75 | 4.75
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java:getInformation -> 8.00 | 1.00 | 8.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java:setInformation -> 12.00 | 1.50 | 18.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java:getSearchInformation -> 8.00 | 1.00 | 8.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java:isCensored -> 4.75 | 0.50 | 2.38
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java:setCensored -> 8.00 | 0.50 | 4.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java:getBlackList -> 4.75 | 0.50 | 2.38
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java:getFavList -> 4.75 | 0.50 | 2.38
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java:equals -> 141.78 | 5.73 | 812.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java:hashCode -> 8.00 | 0.50 | 4.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java:toString -> 8.00 | 1.00 | 8.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java:addBlack -> 8.00 | 0.00 | 0.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java:addFav -> 8.00 | 0.00 | 0.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java:delFav -> 8.00 | 0.00 | 0.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AQuestionnaire.java:delBlack -> 8.00 | 0.00 | 0.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AReqCache.java:getId -> 4.75 | 0.50 | 2.38
..\BL\src\main\java\ru\bmstu\iu7\API\model\AReqCache.java:setId -> 6.34 | 0.75 | 4.75
..\BL\src\main\java\ru\bmstu\iu7\API\model\AReqCache.java:getFactor -> 4.75 | 0.50 | 2.38
..\BL\src\main\java\ru\bmstu\iu7\API\model\AReqCache.java:setFactor -> 6.34 | 0.75 | 4.75
..\BL\src\main\java\ru\bmstu\iu7\API\model\AReqCache.java:getQuestionnaire1 -> 4.75 | 0.50 | 2.38
..\BL\src\main\java\ru\bmstu\iu7\API\model\AReqCache.java:setQuestionnaire1 -> 6.34 | 0.75 | 4.75
..\BL\src\main\java\ru\bmstu\iu7\API\model\AReqCache.java:getQuestionnaire2 -> 4.75 | 0.50 | 2.38
..\BL\src\main\java\ru\bmstu\iu7\API\model\AReqCache.java:setQuestionnaire2 -> 6.34 | 0.75 | 4.75
..\BL\src\main\java\ru\bmstu\iu7\API\model\ATag.java:getId -> 2.00 | 0.50 | 1.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\ATag.java:getName -> 2.00 | 0.50 | 1.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\ATag.java:setName -> 6.34 | 0.75 | 4.75
..\BL\src\main\java\ru\bmstu\iu7\API\model\ATag.java:toString -> 2.00 | 0.50 | 1.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\ATag.java:equals -> 182.66 | 7.00 | 1278.63
..\BL\src\main\java\ru\bmstu\iu7\API\model\ATag.java:hashCode -> 8.00 | 0.50 | 4.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java:equals -> 254.75 | 7.40 | 1885.18
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java:hashCode -> 28.53 | 0.50 | 14.26
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java:getId -> 2.00 | 0.50 | 1.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java:setId -> 6.34 | 0.75 | 4.75
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java:getName -> 2.00 | 0.50 | 1.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java:setName -> 6.34 | 0.75 | 4.75
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java:getAge -> 2.00 | 0.50 | 1.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java:setAge -> 6.34 | 0.75 | 4.75
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java:isGender -> 2.00 | 0.50 | 1.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java:setGender -> 6.34 | 0.75 | 4.75
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java:getPassword -> 2.00 | 0.50 | 1.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java:setPassword -> 6.34 | 0.75 | 4.75
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java:getRole -> 2.00 | 0.50 | 1.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java:setRole -> 6.34 | 0.75 | 4.75
..\BL\src\main\java\ru\bmstu\iu7\API\model\AVariantAnswer.java:getId -> 2.00 | 0.50 | 1.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AVariantAnswer.java:setQuestion -> 6.34 | 0.75 | 4.75
..\BL\src\main\java\ru\bmstu\iu7\API\model\AVariantAnswer.java:getQuestion -> 2.00 | 0.50 | 1.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AVariantAnswer.java:setTag -> 6.34 | 0.75 | 4.75
..\BL\src\main\java\ru\bmstu\iu7\API\model\AVariantAnswer.java:getWeight -> 2.00 | 0.50 | 1.00
..\BL\src\main\java\ru\bmstu\iu7\API\model\AVariantAnswer.java:getTag -> 2.00 | 0.50 | 1.00
..\BL\src\main\java\ru\bmstu\iu7\src\controllers\QuestionnaireController.java:delete_questionnaire -> 4.75 | 0.00 | 0.00
..\BL\src\main\java\ru\bmstu\iu7\src\controllers\QuestionnaireController.java:set_active_questionnaire -> 8.00 | 0.50 | 4.00
..\BL\src\main\java\ru\bmstu\iu7\src\controllers\QuestionnaireController.java:get_active_questionnaire -> 4.75 | 0.50 | 2.38
..\BL\src\main\java\ru\bmstu\iu7\src\controllers\QuestionnaireController.java:is_in_black -> 57.36 | 2.00 | 114.72
..\BL\src\main\java\ru\bmstu\iu7\src\controllers\QuestionnaireController.java:is_in_fav -> 57.36 | 2.00 | 114.72
..\BL\src\main\java\ru\bmstu\iu7\src\controllers\QuestionnaireController.java:compare -> 64.53 | 3.00 | 193.59
..\BL\src\main\java\ru\bmstu\iu7\src\controllers\ReqCacheController.java:delete_from_cache -> 4.75 | 0.00 | 0.00
..\BL\src\main\java\ru\bmstu\iu7\src\controllers\ReqCacheController.java:get_req_cache -> 2.00 | 0.50 | 1.00
..\BL\src\main\java\ru\bmstu\iu7\src\controllers\ReqCacheController.java:setM_req_cache -> 4.75 | 0.50 | 2.38
..\BL\src\main\java\ru\bmstu\iu7\src\controllers\ReqCacheController.java:clearAll -> 11.61 | 0.50 | 5.80
..\BL\src\main\java\ru\bmstu\iu7\src\MainManager.java:getM_user_manager -> 2.00 | 0.50 | 1.00
..\BL\src\main\java\ru\bmstu\iu7\src\MainManager.java:getM_que_manager -> 2.00 | 0.50 | 1.00
..\BL\src\main\java\ru\bmstu\iu7\src\MainManager.java:getM_rec_manager -> 2.00 | 0.50 | 1.00
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java:set_active_questionnaire -> 317.29 | 7.83 | 2485.40
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java:create -> 446.25 | 10.20 | 4551.73
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java:add_fav -> 178.38 | 5.63 | 1003.37
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java:del_fav -> 180.94 | 5.29 | 957.93
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java:add_black -> 178.38 | 5.63 | 1003.37
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java:del_black -> 180.94 | 5.29 | 957.93
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java:delete -> 155.59 | 5.57 | 866.86
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java:censor -> 155.59 | 5.57 | 866.86
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java:get_all_questions -> 169.64 | 5.15 | 873.17
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java:get_all_questionnaires -> 169.64 | 5.15 | 873.17
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java:delete_user_questionnaires -> 192.72 | 5.34 | 1029.52
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java:delete_questionnaire -> 158.12 | 5.20 | 822.24
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java:get_user_questionnaies -> 209.22 | 6.32 | 1321.36
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java:append_question -> 202.12 | 5.71 | 1154.21
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java:append_tag -> 165.00 | 5.83 | 962.49
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java:find_tag -> 165.00 | 5.83 | 962.49
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java:clear_req_cache -> 144.95 | 4.60 | 666.75
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java:findQuestionnaire -> 249.98 | 7.00 | 1749.88
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java:TimerTask -> 0.00 | 0.00 | 0.00
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java:run -> 46.60 | 2.50 | 116.51
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java:doGetFriends -> 507.95 | 10.26 | 5213.14
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java:filterQuestionnaires -> 200.67 | 8.00 | 1605.40
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java:get_friends -> 278.14 | 5.20 | 1446.33
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java:information_comparison -> 285.00 | 5.31 | 1512.69
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java:computeVariantSimilarity -> 256.76 | 10.88 | 2794.20
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java:computeExtendedSimilarity -> 333.67 | 9.86 | 3289.02
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java:recommended_questionnaires -> 103.73 | 2.50 | 259.32
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java:processSingleRecommendation -> 420.60 | 7.91 | 3326.57
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java:computeHarmonicNorm -> 154.29 | 7.60 | 1172.58
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java:shouldAddToCache -> 57.36 | 4.00 | 229.44
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java:logInfo -> 31.70 | 2.40 | 76.08
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java:logWarn -> 31.70 | 2.40 | 76.08
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java:logError -> 31.70 | 2.40 | 76.08
..\BL\src\main\java\ru\bmstu\iu7\src\managers\UserManager.java:register -> 526.87 | 10.45 | 5506.65
..\BL\src\main\java\ru\bmstu\iu7\src\managers\UserManager.java:authorize -> 528.54 | 11.38 | 6014.42
..\BL\src\main\java\ru\bmstu\iu7\src\managers\UserManager.java:delete -> 233.83 | 6.17 | 1441.97
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java:appendQuestion -> 41.51 | 1.11 | 46.13
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java:appendTag -> 36.54 | 1.13 | 41.11
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java:findTag -> 0.00 | 0.00 | 0.00
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java:get_all_questions -> 24.00 | 1.00 | 24.00
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java:get_all_questionnaires -> 0.00 | 0.00 | 0.00
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java:findUserQuestionnaires -> 24.00 | 1.00 | 24.00
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java:delete -> 4.75 | 0.00 | 0.00
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java:deleteQuestionnaire -> 28.53 | 0.50 | 14.26
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java:deleteUserQuestionnaires -> 0.00 | 0.00 | 0.00
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java:createQuestionnaire -> 30.00 | 1.33 | 40.00
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java:update -> 36.54 | 1.13 | 41.11
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java:findQuestionnaire -> 28.53 | 1.00 | 28.53
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java:insert -> 11.61 | 1.00 | 11.61
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java:deleteOneCache -> 33.00 | 0.71 | 23.57
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java:findAll -> 4.75 | 0.50 | 2.38
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java:ClearAll -> 4.75 | 0.50 | 2.38
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java:get_tags_names -> NaN | 0.00 | NaN
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\AUserBuilder.java:defaultUser -> 4.75 | 0.50 | 2.38
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\AUserBuilder.java:withName -> 12.00 | 2.00 | 24.00
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\AUserBuilder.java:withPassword -> 12.00 | 2.00 | 24.00
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\AUserBuilder.java:withAge -> 12.00 | 2.00 | 24.00
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\AUserBuilder.java:withGender -> 12.00 | 2.00 | 24.00
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\AUserBuilder.java:build -> 51.89 | 1.44 | 74.95
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\AUserMother.java:lenaAUser -> 11.61 | 0.50 | 5.80
